pais	origin	fxtousd	fxtoeur	data_date_part
MI	CZK	0.044992776	0.037946007414103	2020-11-20
MI	TWD	0.03505493	0.029564626766919	2020-11-20
MI	PHP	0.020732781	0.017485612802237	2020-11-20
MI	JPY	0.00963027	0.008121977407878	2020-11-20
MI	CAD	0.764119917	0.644443449279805	2020-11-20
MI	DAT	0.730736884	0.616288867001932	2020-11-20
MI	UYU	0.023394943	0.019730826948000	2020-11-20
MI	YEN	0.00963027	0.008121977407878	2020-11-20
MI	HKD	0.128993672	0.108790682039768	2020-11-20
SB	COP	0.000275309	0.000232190141283	2020-11-20
SB	HCN	0.152609174	0.128707524315370	2020-11-20
SB	MXN	0.049756096	0.041963295701150	2020-11-20
SB	CER	0.302598731	0.255205714978432	2020-11-20
SB	DNZ	0.693998833	0.585304730275775	2020-11-20
SB	PCL	0.001314009	0.001108208913799	2020-11-20
SB	GBP	1.328591161	1.120507202604076	2020-11-20
SB	EUR	1.185705151	1.000000000000000	2020-11-20
SB	LTL	1.185705151	1.000000000000000	2020-11-20
SB	BRL	0.185797004	0.156697475581218	2020-11-20
SB	INR	0.013496449	0.011382635043356	2020-11-20
SB	ARD	1	0.843379991710680	2020-11-20
SB	MAD	0.109810467	0.092611950860989	2020-11-20
SB	LVL	1.503985562	1.783283426831102	2020-11-20
SB	SKK	0.035085971	0.029590806061949	2020-11-20
SB	BRE	1.185705151	1.000000000000000	2020-11-20
MI	USD	1	0.843379991710680	2020-11-20
MI	RON	0.243402205	0.205280549434264	2020-11-20
MI	CSU	0.11605673	0.097879924056360	2020-11-20
MI	BRT	1	0.843379991710680	2020-11-20
MI	ARS	0.012610159	0.010635155424959	2020-11-20
MI	AED	0.272256452	0.229615644199154	2020-11-20
MI	PKR	0.00621504	0.005241640719147	2020-11-20
MI	PMX	0.049756096	0.041963295701150	2020-11-20
MI	VEB	4.01003E-05	0.000033819748513	2020-11-20
MI	PEN	0.278120415	0.234561193413311	2020-11-20
MI	CDK	0.15921971	0.134282717756003	2020-11-20
MI	PLN	0.265557097	0.223965542210671	2020-11-20
MI	NZD	0.693998833	0.585304730275775	2020-11-20
SB	EUI	1	0.843379991710680	2020-11-20
SB	SAR	0.266645335	0.224883340455611	2020-11-20
SB	UDL	1	0.843379991710680	2020-11-20
SB	DOL	1.000259933	0.843599214339417	2020-11-20
SB	UDI	0.328106477	0.276718437727139	2020-11-20
SB	TWD	0.03505493	0.029564626766919	2020-11-20
SB	ECS	0.00004	0.000033735199668	2020-11-20
SB	CNO	0.111040534	0.093649364248800	2020-11-20
SB	F0U	1	0.843379991710680	2020-11-20
SB	USC	1	0.843379991710680	2020-11-20
SB	SGD	0.74418584	0.627631447893027	2020-11-20
SB	YCN	0.152370653	0.128506360189527	2020-11-20
